"time_arcid","logppt"
145617,0.3210009572
145618,0.125054831
145619,0.0611819065
145620,0.0611819065
145621,0.2274730766
145622,0.2364476917
145623,0.0941454316
145624,0.090904561
145625,0.0873904174
145626,0.0867407079
145627,0.083185003
145628,0.2636832044
145629,0.3151243227
145630,0.2029330138
145631,0.188575024
145632,0.0611819065
145633,0.2161563734
145634,0.1673030392
145635,0.083185003
145636,0.083185003
145637,0.2677568498
145638,0.1372387324
145639,0.2208210268
145640,0.1128356416
145641,0.2600447784
145642,0.2107737401
145643,0.083185003
145644,0.083185003
145645,0.2397282008
145646,0.2008712948
145647,0.2796616471
145648,0.2633389979
145649,0.2649347965
145650,0.2462123741
145651,0.3059221198
145652,0.2619032372
145653,0.2749291963
145654,0.3741363285
145655,0.3644871164
145656,0.2649347965
145657,0.2510824624
145658,0.0987782829
145659,0.1868025984
145660,0.083185003
145661,0.3059221198
145662,0.2476920105
145663,0.3941467398
145664,0.343412212
